R	3.0594	1.5814	1.3732	1477010443550000	-0.0431	3.2476	-0.1564	0.9877
R	4.4086	1.5839	1.0303	1477010444350000	-0.2717	4.0121	-0.3971	0.9178
R	4.7907	1.7555	1.4923	1477010445150000	-0.6833	4.6957	-0.6129	0.7902
R	5.0939	1.7720	0.9808	1477010445950000	-1.2519	5.2554	-0.7902	0.6129
R	5.5791	1.8909	0.2539	1477010446750000	-1.9418	5.6562	-0.9178	0.3971
R	6.6294	1.9697	0.3199	1477010447550000	-2.7098	5.8728	-0.9877	0.1564
R	6.7115	2.0990	-0.1232	1477010448350000	-3.5075	5.8916	-0.9956	-0.0941
R	7.2987	2.1783	0.3491	1477010449150000	-4.2848	5.7114	-0.9409	-0.3387
R	7.2554	2.2921	0.2963	1477010449950000	-4.9928	5.3436	-0.8271	-0.5621
R	6.7705	2.3947	0.2253	1477010450750000	-5.5872	4.8112	-0.6613	-0.7501
R	7.5014	2.5366	0.3154	1477010451550000	-6.0305	4.1478	-0.4540	-0.8910
R	7.1376	2.6280	-0.3315	1477010452350000	-6.2949	3.3950	-0.2182	-0.9759
R	7.2844	2.7349	-0.3890	1477010453150000	-6.3637	2.6000	0.0314	-0.9995
R	6.4230	2.8682	-0.5722	1477010453950000	-6.2327	1.8130	0.2790	-0.9603
R	5.8982	2.9634	-1.0933	1477010454750000	-5.9101	1.0832	0.5090	-0.8608
R	5.2372	3.0618	-0.9282	1477010455550000	-5.4161	0.4566	0.7071	-0.7071
R	4.8129	-3.1452	-1.3735	1477010456350000	-4.7818	-0.0275	0.8607	-0.5091
R	4.1414	-3.0204	-0.6169	1477010457150000	-4.0471	-0.3386	0.9603	-0.2790
R	3.0237	-3.0130	-1.1964	1477010457950000	-3.2580	-0.4572	0.9995	-0.0314
R	2.5050	-2.9736	-0.9375	1477010458750000	-2.4643	-0.3759	0.9759	0.2181
R	1.4314	-3.0760	-0.9027	1477010459550000	-1.7157	-0.0998	0.8910	0.4540
R	0.6865	2.8296	-0.5911	1477010460350000	-1.0593	0.3539	0.7501	0.6613
R	1.5511	2.1142	-0.0081	1477010461150000	-0.5364	0.9565	0.5621	0.8271
R	1.2846	1.6355	0.7856	1477010461950000	-0.1797	1.6703	0.3388	0.9409
R	2.1147	1.5173	0.3422	1477010462750000	-0.0118	2.4503	0.0941	0.9956
R	2.8692	1.5329	0.9865	1477010463550000	0.0274	3.2487	0.1254	0.9921
R	3.8899	1.4890	1.1426	1477010464350000	0.2319	4.0200	0.3682	0.9298
R	4.3386	1.4180	0.6850	1477010465150000	0.6218	4.7162	0.5878	0.8090
R	5.1332	1.3593	1.1984	1477010465950000	1.1726	5.2935	0.7705	0.6374
R	6.5431	1.2385	0.9903	1477010466750000	1.8496	5.7157	0.9048	0.4258
R	6.3401	1.1927	0.7344	1477010467550000	2.6104	5.9563	0.9823	0.1874
R	6.9273	1.0255	0.5773	1477010468350000	3.4071	6.0002	0.9980	-0.0628
R	7.4797	0.9145	0.8957	1477010469150000	4.1896	5.8445	0.9510	-0.3090
R	7.7707	0.8860	0.0497	1477010469950000	4.9089	5.4991	0.8443	-0.5358
R	7.7070	0.7230	-0.3437	1477010470750000	5.5197	4.9857	0.6845	-0.7290
R	6.5412	0.6258	0.5143	1477010471550000	5.9836	4.3365	0.4817	-0.8763
R	7.5533	0.5381	-0.1441	1477010472350000	6.2715	3.5924	0.2487	-0.9686
R	7.4837	0.4129	-0.5488	1477010473150000	6.3653	2.8000	0.0000	-1.0000
R	6.2789	0.3348	-0.5065	1477010473950000	6.2591	2.0092	-0.2487	-0.9686
R	6.5376	0.2111	-0.4675	1477010474750000	5.9595	1.2696	-0.4818	-0.8763
R	5.8945	0.1871	-0.9080	1477010475550000	5.4855	0.6278	-0.6846	-0.7290
R	4.9539	0.0365	-0.6720	1477010476350000	4.8667	0.1241	-0.8443	-0.5358
R	4.4447	-0.0534	-0.6483	1477010477150000	4.1421	-0.2100	-0.9511	-0.3090
R	3.4401	-0.1094	-1.0544	1477010477950000	3.3572	-0.3533	-0.9980	-0.0628
R	2.9187	-0.1248	-1.0441	1477010478750000	2.5612	-0.2970	-0.9823	0.1874
R	2.0446	-0.0140	-0.1792	1477010479550000	1.8043	-0.0445	-0.9048	0.4258
R	0.8180	0.2838	-0.6109	1477010480350000	1.1340	0.3884	-0.7705	0.6374
R	1.0159	1.0232	0.0266	1477010481150000	0.5924	0.9743	-0.5878	0.8090
R	1.9241	1.3926	0.4501	1477010481950000	0.2135	1.6765	-0.3681	0.9298
R	2.8967	1.5703	0.3912	1477010482750000	0.0212	2.4509	-0.1253	0.9921
